ReviewerName,Description
Jayanthi m,"This product stopped working after 5 months, No any proper respond from Amazon even though product having 1 year warranty"
Rishi Tiwari,A compact mouse with the convenience of wireless. Pretty decent buy but will be uncomfortable for those with larger than average hands.
RKU,Great Product for the price. A bit small for people with big hands. But the material and build is nice and ideal for office desk space.
Brijesh J Chavda,Don't buy from this seller.I was two time product replaced. But all time they returns diffectives product.
Lee,Ergonomic and easy to hold. It can be used for gaming too.
Rajesh Pingulkar,Good Quality
Balaji,Design vise good but there some noise in the mouse wheel.  when scrolling down its makes noise.
Sreeni,"After 6 months, the mouse is repaired and doesn't work. When I contact the support as there's a warranty, they suggested me to reach out to service center as they aren't helpful in this case.Disappointed with the product and service"
Satyabratta,"Good one. No emission of lights that makes the battery last longer, even if its switched on."
Karpagam,Very sleek and comfortable to use. Battery lasted for almost two years.
N,Its small in size. But good to use.  On off button saves battery power.  its good.
faizal rahman,Waste products
Shashank Singh,It works fine for 20 mins after that it connect for 20 sec and then close. Don't know it's a battery issue. But they claimed that battery work for 12 months.
Wilfred P.,Good quality.Working fine till now.
dnyanesh kulkarni,Good for basic use
DerRick,Expect on glass and glossy surface this little guy goes smooth on everything.
Milton,"Misfires a lot, which means left clicks dies not get registered 2 out of 5 times"
Sudhir,Working Satisfactory and giving desired performance for hours of working.
Gowtham,Wow!!Easy to handle.For video editing and Normal usage!!! extremely good!!
Babu,Good good
Abhinav Pratap Singh,"Got in good condition , I would recommend it for normal stuff and not for gaming purposes."
Hariharan,👍🏼
JIBIN GOPAKUMAR,Very good looking and comfortable model mouse but we have to connect the usb on the front of the c p u for signal efficiency
Deepu,Got this little dragon within 1 day of purchase. Amazing product from Logitech. Looks very stylish. Go for it. Happy shopping.
Vineeth J N,Smooth operation! Comfortable to hold!
Keishing Robin,"Good product works Nice, same as shown here."
Saleem,Its not working at all i changed my Battery cell as well. Please replace asap.
Hobo Chillin,go for it
Amazon Customer,i am using this product from jan 2018. love the mouse great working
swaroop,Nice Product perfect  fit  to hand  to Handel  cost  of  499 this  u can  go  for  it but  only  one  problem we cnt find  lazier light  but  it works  amzing of i suggest  u can  go for  it
Amazon Customer,feels good. easy to connect and use. will have to wait and see for the durability.
chirag,No receiver inside the box... It was missing and without the receiver the wireless mouse will not work.
zear,"easy to hold , fast"
John samuel,Good
Biplab Halder,Working perfectly. Product is fab. Value for money.
Bharath,"It's ok to use, but this is not the bes one for the price point"
Siddharth Nema,"Received a faulty product. Returned it, they sent another faulty one. And no option to return now. Complete BS"
kaushik p.,"Nice to hold comfortable, no light so battery usage reduces , connects fasts , it's not for gaming"
Amazon Customer,Very nice mouse. very comfortable in hand and receiver is tiny.Invisible LED and there is a place to store receiver on back side.
Amazon Customer,"As per mouse specification , 10 m wireless range but it is not working more than 2 meter distance."
SriramaKumar,Low Price Best Quality
RAVI S,Great product
Alltime user of amezon,I like it. It works with no issues. Using it for last 1yr without any issues.
Anirudha Kanade,Easy to use and comfortable than wire mouse
Philip,Good and durable product
Dipak U. Kawarakhe,Not best
Suh,"Love the look of it , its cheap yet handy and works really well."
Mohit Sharma,Worth the price
Bharath Kumar Sai K,Easy to holdNice clicking sound  but plastic (Build quality) is cheap.. And dont expect premium quality
LOOMANTHA miles to go....,good product
Ankur Dhoot,"Pretty small for hand, overall noise of mouse is quite less and has button at bottom to start stop."
frenemies,"easy to hold, small size"
DADADEY,excellent product to have it with you.
S.B.,It was good. But failed by the end of 1.5 years.
Devansh verma,Comes nice look and easy to holdGets connected by just putting usb into laptop....
vishal,"Well made, i dropped it 10-15 times but no damage"
Kumar,Original. Rugged and compact. Less height.
one homeopath,i am happy after 2 year of use
Ar$h@d,Its easy to use and no problems while connecting
Pranav jha,Average quality product but good for daily usage at office.
Shubham Pandey,Great to have. Not for gaming. Long lasting. In hand feels bit cheap. Value for money 4/5.
Anwesha basu,"Worst product....waste of money completely...got a damaged product from Amazon,not working at all.Very dissapointed"
Madhurjya Chakravorty,It's quite good for official purposes.. buy not quite good for gaming purpose.. well atleast it serves my purpose.. liked the mouse
harish,Best in this price range
kamal,Original product
Subham Stark,"I cannot believe logitech made wireless mouse for just 500 rs, this is my favourite wireless mouse so far, its build quality is awesome, and works completely fine with mac and windows."
Amazon Customer,Ordered yesterday and got one day delievery free with my prime membership.And product is awesome in looks and works well.
Ashutosh,Simply great. The cheapest one in the catalog. Ergonomics are good. On off button is a blessing.
lokesh k ray,The product did not work on both occasions i.e. after replacement
Milon,"Very reliable, accurate and power efficient wireless mouse.Size is a bit smaller than one would think seeing the pictures in the app, but it feels very comfortable in your hand."
TugBoat,"Outlook is superb, easy to hold, invisible optical light, long battery life.."
Manish N.,"Lasted less than 2 months, scroll started misbehaving."
Fin,"I bought this product just 12 days ago, it has stopped working. It is in warranty but I can't find anything to return this product."
Ayush Kumar,Roller stopped working in 3 months!Did not expected from Logitech.
Jasmon Sharon Serrao,100% value for money
A Mohan,Impressed with the product. Logitech has hardly ever let me down.
Mukesh Udasi,"Bought this over priced mouse and guess what , it started scrolling problem within a month and half of its normal use.... I dont have time to get it replaced so bought new of GENIUS."
VIJAYA KUMAR,Very easy to use
vishvendra pratap,"This is a medium sized wireless mouse, good for your daily use. It's range is quite good. Nothing to worry about battery."
divyesh kalbhor,Wow!The product is really good and the mouse fits properly and it is easy to maneuver.The quality is good and it's compact design makes it easier to use.I would say please go for this product as it is a nice product at an affordable price.
Vivek Sharma,Good purchase.works good with laptop.
Prince,Nice product
Jampala 1189,Nice product
Ashok Sankar varma,Very good buy in budget. Smooth and Fast. Good for office usage.
Milind Dighe,Good entry level mouse. The best performance.
Amazon Customer,Really nice product.worth for money .
Aravind Reddy Ch,Not well to hold and buttons are somewhat hard and that middle button is very tough to use
Vidhan Sharan,Quality must be better. Sometimes it switches off on its own.Couldnt get connected to Lenovo i3 Laptop.
Raphel,A wee bit small but near perfect for carrying around in a laptop bag which is narrow. Form factor is nice and sleek. It has a slightly unique design.
Sunil,"Decent mouse, does the job well. Worth a buy if available at a discounted price."
Amazon Customer,"This mouse is very nice & compact. Looks like specifically designed for laptops. Easy to hold & elegant, loved it."
Amazon Customer,Awesome product
Savio,Good
Lotus Krish,Value for money
Vandy,"Pros: Comes with a battery and USB adapter. Plug and play. Comes with on/off switchCons: Serial no on invoice, box and device do not match (I've checked this based on reviews), not expected"
Pavan sai,Bought 4 months before for ₹600 and working superb.Editing review...After 10 months scrolling wheel is not working properly
Debashish,Superb value
Rahul Kumar,Nice!!  Must buy product!
Amazon Customer,Working fine.Good range
Chirag,Excellent mouse with less power consumption and easy to hold.
Srinandan N Kaushik,Very handy mouse and ergonomically comfortable !!
ßośś,Working well okay product
Y .Narendranath Reddy,After a 3-months mouse scroll stopped working and No help from Logitech. Better to choose another good product.
Aryan,"Easy to hold , easy to draw on screen .....Best mouse .to purchase"
Akhil Bhargava,good
Varun Gandhi,Good
N J Buch,Scrolling function does not work
KPS SYSTEMS,The best mouse value for money  in the lowest range
Shivesh,Very good product.Product arrived on time.Have been using this product from past 3 months.Working flawlessly.Recommended for anyone who is looking for similar product on a tight budget.
Varsha Thakur,Very luxurious feel. Logitech is a reputed bank.
Prashanth,"This mouse is good for Gaming, Controlling, etc."
TS,Stopped working within 20 days. Don't buy.
Amazon Customer,this was delivered just before the lockdown and i opened it today . this mouse is not working
Lalith Kumar D,Product delivered within 4 hours in same day delivery..good product easy to install and use..
Iti Sharma,"I've been using this mouse from past one year. Recently, the scroll stopped working. I don't what to do about it..."
Santosh Kudtudkar,Very very Nice product
sufiyan a.,Scroll button requires little more effort to operate
Praveen Shiva,Okayish.But battery was not included
Vijay Kumar B,Not that good. Scrolling is always a discomfort with this. Not happy with the performance.
Anuradha R,Very nice product and easy to hold.
Manindra Sahadev G,"love this model, but the only thing i dont like is that its lil bit smaller. after long usage of this i feel lil bit pain in sesamoid bones. but the overall thing is good. its up to you."
AmazonBuyer,So far working good. No cons observed as such. Does its job very well.
Mihir Mehta,"Value for money, worth going for"
Amazon Customer,Great product. Logitech again proved it's brand.
Charu Narain,"I was looking for a budget friendly, decent looking wireless mouse then came across this. It was upto the mark."
UserR,I loved it. It has made my life easier. Not have to deal with the wire all the time.
Amazon Customer,"Great mouse, i have been using it for more than 4 months now and the mouse is working perfectly. Till now i did not need to change the battery and mouse clicks are also good. I feel that it is the best wireless mouse to opt for in this price range."
Pulkit Tyagi,good product but slightly heavy a mouse must be light
Ketan C.,Do not buy I have received without receiver mouse twiceDisappointed prime user
Debasish,Best one
Roshan,It is a good product. I love it. I have been using it since november 2016 and I got no complaints. The battery ran out today. It lasts for nearly 3 years. Love it.
Gurjeet Singh,its a awesome product.
rajiv kumar,Does what it says
Satish,"Easy to hold, perfect in operation"
monark patel,Amazing handy and too use full who hate laptop touch pad thank you
Somanyu,This is the affordable mouse for students and also it's east to hold and works well on any surfaces.
Amar P.,Very nice product with invisible light which good for your eyes when you flip the mouse for changing the batteries
Dharmajee,Excellent product
Soumyajit,Reviewing after 10 months of use.Drains the battery very fast. Not at all recommended.
vinod,Good
Anonymit,Product as mentioned in description with good quality.
Amit Lohan,The scroll wheel on this moues stopped working in the first 4 months and behaves erratically. No a recommended purchase.
Sumitra m.,Very good product
nandakishore vasireddy,"It works for only months. Though it is under warranty, we need to walk to the center to get it replaced/repaired which will cost more than the cost of product."
Manjunath,Good
Sumit Jha,Mouse is good but scroll wheel stopped working after 3 months.
Vinay Kumar Sevella,It really served my purpose... Easy to install and use... I would recommend other who are looking to buy wireless mouse.
ankur grover,Good
Abhijit Jadhav,Good
Shiv pandey,I have been using this for almost two years now. No complaints. Worth every penny.
Nishant Ojha,Worked fine for first few days. But then started having problem in connecting. Probably i received a faulty product.
Sagar Kamblez,"Over all good product for office work with laptop , handy , easy and fast ."
Sohil Hariyani,Nice to use for laptop
Manoj G,Best for regular use. Fits Perfect for my use.
kaustubh k,Good productBetter than expectedSmooth operationNon light optical sensing
Lalith K.,"A tiny wireless mouse , does the job. If you have a better budget then look for something better."
raj,"✓ Size is smaller than a standard mouse✓ Works well✓ Not for big hands, as you may experience pain in your thumb"
krishan kumar,Good product nice  grip in hand  and all over good looks thumbs up
Saipavan Chollangi,"In this price segment, the built quality is good and it's clicking is very premium to touch"
Amazon Customer,Working fine
Swapnil Chinchwade,Simply awesome experience
Amazon customer,mouse is not comfortable to use as it feels small in hand. better buy logitech m235.
Vidyanath R,Used it for 2-3 months.. and scroll doesn't work properly. Didn't expect such product from Logitech
Amith,Good quality. Using now for almost 6 months. No issues at all
Mik,Good product .. but using ot for long time ur thumb muscles  pain
Mahesh K.,Dell wireless mouse is much better to feel and operate. The mouse does its job well though. Value for the money.
Nitin kr. singh,Under 300 it's a value for money mouse
Abhishek Kumar,Nice mouse. I am not finding any problem with them!
Ramesh gopu,Average
sivaramkumar,Flimsy. Buttons are not so good. Better to go for higher value ones
Shri tirupatiindustries,Battery quality poor or swnswr light not work
Amazon Customer,Awesome
Amazon Customer,I liked this product.It's been only 10 day to judge on the product.
Sudeep,Great product. Easy to use and durable.
Hitesh Singh,very good product in less price i use this mouse in 1 moth very fast and easyi suggest every friend this mouse
Jeetika Chatterjee,Great value for regular use.Logitech is the market leader and should keep on producing  such wonderful products.
Amazon Customer,Very easy to use and nice minimalistic design. No lag in the connectivity.
Amazon Customer,Its sleek and easy to hold. Feels premium. But not good for gaming and other heavy usages.
Panchal Meet,Battery life is good I am a heavy user of the mouse and I am must saying this mouse is perfect for heavy users. Easy to hold and feel like some premium mouse
Bibin Varghese,Smooth
kacela d.,It worked great for 8 months and then suddenly stopped working.Really disappointed with Amazon and Logitech.Do not buy unless you want a mouse that will last only for a few months.
Asad Ali,Compact and stylish. Low on battery consumption.
Harsh,Good
Anish Chirakkal,Good and best delivery. Product is good
Ankit,Amazing product! Sleek and stylish at the same time
Mansoor Ahmed,Stopped working in 15 days
Arun Raj N,It doesn't feel like holding a mouse it's just so tiny and easy to use. And precision is also good.
Sage Antony,Good
Sakyadip B.,Total value for money. Beautifully crafted. Nice design. Works on any surface
Nishad Vipra,Good for daily use but not so much for gaming. I have been using this mouse for about year no problem yet.
Keval Kankotiya,"After 5 months of usage, the wheel stopped working."
Syed Yousuf,Easy to hold if you are planning for wireless mouse with best budget go for logitech😊🖱️
mohd aslam hassan ansari,Very nice productGreat for working and playing
Shals,Awesome :)
Value shopper,Works on any surface be it glass or bedsheets.  Fits on the palm size well even though my palm is abnormally big and battery is just perfect
Parth Soni,"Easy to use, portable and the delivery was on time with respect to the expected timeline"
PRAMOD KUMAR,"Nice product, packaging was damage but overall works well, and must buy."
SURAJIT PAUL,Good
uday,do not operate costly with the qwality of the product
Bhanuchandran,Good
Jd.,Good Quality Product.Real Compact Size.
Amazon Customer,The Product stopped within 10 days and now there is no idea of how this can be repaired / returned / replaced back. Very bad quality product.Can somebody help on how this product can be replaced / claimed under warranty.
"A.V.RAGHAVULU EX CRPF, PLOT NO 18,. VENGAIVASAL, VEERABHADRA AGAR NEAR ZIGMA SECONDARY SCHOOL MEDAVAKKAM, (back side of Mars Skating Academy) CHENNAI. 100",I m a fan of this mouse model and this is my third one.
santoshcanc2005,The make and the quality of the product is good. I am satisfied.
Mahendra Suda,Scroll stop working in 3 month
Mahesh Kumar,"Used product has been delivered to me ,battery is completely discharge and mouse was in power on mode ..."
Abejeeth,Is good but little smaller than expected but is working perfectly and worth of money delivery also very fast .
Amazon Customer,The quality of the product is excellent. Recommend it
Aayush Agrawal,Small and quite responsive. Pretty attractive at the same time and portable. A very good mouse for the price.
Subrodeep Ghosh,It’s a good product overall
Achu Sudha,light weight mouse
Harsha K,Good grip. Fits perfectly in the palm. Very accurate.
Abhijit,Excellent product and on time delivery
Dileep,"nice and compactbattery backup is good, been using it for ~6 months with the same battery, 3-4hrs usage daily"
Amazon Customer,"I purchased this item,  initially it works very good  but by the it's not working properly. I have to click frequently more than once for selecting a particular content.  Sensors are not good.. So don't go for this product... It was a waste of money."
N. Sundareswaran,I still cannot get over how cute this mouse it. Beautifully made and compact. Love it.
vivek bharati,One battery can go for many months..
sajit shinde,Not working properlyBattery not adjust properScrolling problemI west of my mony
vishal bhatia,"Good product, size is smaller than​regular mouse so you would feel little different and difficult to hold if you are used to regular sized mouse. Decent product for the price it is sold for..... ~350 bucks"
Sweta Kumari,Roadside material. Not working.can't connect with any device even after Bluetooth on inside the home.
Kunwar Shekhar Singh,Product is good in terms of performance but not very much handy or comfortable.
Amazon Customer,Good
Isopod XD,Value for money
Chavan,"It's okay for the price range, built is good, however there is squeaky noise when scrolling."
AMIT KUMAR,The product worked well for few months then its scroll key stopped working..
NH,Been using the mouse for a while & haven't faced any  issues so far. It's the perfect size & comfortable for me.
Naveen rana,Good product
Balai Paul,Good products
Rajesh,Best product & performance .
Mumtaz,Click is not often working
Nitin Nandgaonkar,It is an Excellent product with very good packaging and amazon delivers it very well same as shown in image. If you want to buy this product you can buy it without any hasitations.
MN,Worth buying only the size is little small from the actual ones we use in office.
Hetul shah,good
Aishar  Ahmad,Good but not for gaming
Rajat Mistry,"It stopped responding after the warrenty got over, without even facing any physical damage. Don't know how would i make it work again."
Rajat Aggarwal,Best wireless mousewriting review after 6 months and still no problem in device
Rohan Kumar,"Easy to Hold, and Powerful Body...many times dropped down but nothing has changed in performance"
roshan,"Great product, easy to use. Only concern is that it's small and little difficult to fit in my palm."
Dan,Good product and recommended to buy
Amaresh Pradhan,Working without any issues
Irfan,Perfect one
Amazon Customer,This is steal at this price and works perfectly fine.
Chitrarth Medida,Best in this price range!
Varadha Rajan,Looks good and handy....easily connected to my laptop
Satish.yarabala,"Awesome product, worth for money."
Pratham,good wireless mouse
jagdish,Nice one
Nikhil,"Good ones, no complains considering the price of sub INR 500."
Sridharan Subramanian,With in a week the scroll bar started making some kind of sound.
Prashant Singhal,It solves daily office purpose..
vibhuti,Lovely and easy handalble...nice
Manideep Bhattacharyya,Good product
Arpit Aggarwal,Size and speed is good. Within Budget product.
R.Srinivasa Chakravarthy,"Little expensive, you can get Logitech model in this price. Recommended price @400"
Yogii,sab kuch badia h par 500 se upar k price me mat lena
AATHI,"Flawless, Fast & Easy One!!Go For it.😉"
Jeevan Jyot,Great choice..
Dindayal Gupta,The mouse cursor freezes and its difficult to put in place at times. Go for wired one only.
Kairav Vaghasia,Perfect product just as in the picture
Amazon Customer,scroll wheel behaves in an erratic manner. :/ even the mouse stops working suddenly and have to remove the battery and reinsert it to make it work.
Shubham,"Mine worked for 2-3 months, i guess j was unlucky with this one"
daniel paul,Product started showing problem with scroller....it not working properly. Product is okay quality not that good or not that bad.
Yatharth,Does the job without looking as cheap as it is.
Imran,Please do not buy.... buttons are very delicate..!
Ab,wide scroll wheel makes it easy to browse.Fits on the palm of my hand quite snuglyLooks quite neat
Arosek Padhi,A great mouse to buy for 550. It's also okay for gaming. It's small size makes it easy for people with small hands to hold it
Amazon Customer,One of the best wireless mouses I you can ever buy.
D Stark,It works fine and its light weighted
Suraj R.,Useful and Smooth on any kind of surfaces.
Suneel Gore,Good product
A Mudassar Ahammed,"Excellent Product, Very Elegant Shape and comfort to handle"
G. K,Nice product
Shibu Antony,Nice
Amazon Customer,Loving it
Amazon Customer,Excellent product for the price. Have been using it for 2 months. No issues faced so far.
V.v.Antony das,"go wireless , among all other mouser this is most handy and feels good in work time."
Rishi,Mouse is best for entry level wireless mouses with a brand name.
Adil Mistry,Nice & good product.
Shobhit,"Worth every penny, looks great and easy to holdGreat looks!!"
ad,Great value for money (~₹550).A good Logitech wireless. Good looking too.Not that durable though (scroll wheel went bad after a couple of falls after some months of usage)
bhushan dhende,"Nice product, packaging was good enough. And a wonderful piece from logitech."
Bhushan Kudav,Good product
Anuj kutariyar,Connects easily and very ergonomic for laptop
Rahul Patil,Using it for office purpose. No complaints whatsoever.
Mohammed Sadath,OVERALL IT IS NICE AND AWESOME
Roopa Manjunath,It's good
saravanan e,Best
Sharath,"It's good, using this for past 2 months. Not issue till now."
Keerthan,"Size is a bit small, as in the picture.Using it for monthsNo issues so far Thank you Logitech..."
Wayne Danielle,Extremely happy. The quality I would expect from Logitech AND Amazon
Rishabh Ghosh,The mouse works fine but the mouse wheel is very noisy and makes squeaking sound in each scroll. It's really irritating.
Team Super Smelly,it comes with invisible light
Rajachandra,Its a ver user friendly one. I am extremely satisfied with this one. This is the 2nd one which i have purchased.
Ravi,After using for a month it's stopped working.. don't buy it is defective piece..
Pranathy,This looks so classy also the price is affordable.Its easy to use n works nice .
Dev,Value for money
GIRISH BABU,Superb I am using present
Rohith Reddy,"COMPACT , GOOD TO HANDLE , USER FRIENDLY ."
Ram,Nice and easy to use
Kumar,Good
Amazon Customer,Don't think twice...best budget mouse.workimg well with MacBook air.
Sudhakar M,Good one.. i got 2nd one now.
Anand K,"Nice product. However, packaging must be improve."
Divya venkatesh,It stopped working now.pathetic product.i will not buy any product from Amazon again.thanks team
Akshy,Good to buy
Sagar,Best in range! Go for it!!
Abhishek,"Amazon delivered it on time. The packaging was neat (Not excellent)The device is as I was expecting it. It works well, but a teeny bit smaller than in the image. But its good."
Rajaram Majari,Better to handle
Faisal,In the picture it looks heavy but in real its light weight and a bit small but quality is very good
Vaibhav Rockxx,"Best mouse for daily use, it took only one duracell for about 3-4 months work. It worths its price rather than wasting your money on other wireless mouses go for this one."
Amazon Customer- Aravind,Working fine with no issues.
shashidhar,"Buttons are very delicate, sometimes holding it will make it click unknowingly."
Pooja,Using this mouse continuously for 2-3 hours gives a wrist pain.
Vinay Unnikrishnan,Good product. Easy to hold and ergonomic.
Ashutosh Behuria,Very nice
lopa mavani,Mouse is lightweight and easy grip. But the cursor shakes and sometimes jammed so we have to shake the mouse.
Player,Nice
Arjun,I have been using this for less than a month now and the scroll pad has already started acting weird. Extremely disappointed
Ajish,Logitech as expected.. very good product. Light to use and very comfortable design.
SK,Thought it is silent mouse but it's like normal need to exchange this with noise less one
Abdul Qadir,"Good, click sound is a bit loud.Best think is that it does not have the optic light which irritates sometimes. Small and compact size.I like it..."
Pramod S,Good product easy to connect and use.
ashutosh,Nice n good grip for using
Amazon Customer,Good product. Was as expected. Good quality and performs well.
Rachi Ramesh,Worst product I ever seen its not going to perform .Not working. It's just model for showroom
Sakshi Bhatia,Good product. Worth the price.I love the color and the grip on my hand.
V. Srinivasalu,I find it the right thing for my wire-free work-station. Proved a Good choice.
Amazon Customer,Good product. Easy on hands. Connected is however is bit longer than other products. Good for office use. The build & material quality is very good.
John,Not suitable for longer use. But good one at this price point.
Pavan K.,Easy to hold and looks good. Bought it at a discount price.
Shashi Prakash,I'm using this mouse from past 7 months it's really light easy feels good to hand.
Utts,This one is nice. Was worried about the clicking sound being too much but it turned out to be perfect!
pankaj karmakar,Good and easy to use.
Salman,A very good mouse ... no issuesGo for it
Aditi Porwal,The mouse is nice n comfortable. Supports my hand and is easily movableLoved itHope the battery lastsAnd packaging could improve
Pravin Ghodke,I have been using this mouse from last two days and it works seamlessly. It is a best mouse for people with small hands. Good work Logitech
Shravan,Superb mouse. Using it with mac book pro. A little small in size but that is what i wanted.
Amazon Customer,Very good product 👌
Amit Kumar Srivastava,Good
G D,Very comfortable to use. Excellent build quality. Worth the price.
MasterBlaster,Absolutely worst product! Stopped working within 10 days!The USB cannot be recognized by the laptop at all!Such a waste of money !
Shashikant Maurya,Very good product. I have used this around one year but no any issue.
Kindle Customer,Very smooth & easy to hold
Amazon Customer,Absolutely rubbish product. My mouse is not working anymore just after the 12 days of delivery.. I want my money back.Amazon should be sued for this kind of fraud.
User,Nice
Archit jain,This product has smooth connectivity and very good operating.
arsh,Its good for day to day useIts good for professional who travel frquently with laptop
Murali Boddeda,"Light weight ...looks delicate but working fine ,have to see whether it can hold when it drops on the floor."
Ankit S.,You cannot go wrong with this one. Its small enough to not be a problem and big enough to work properly for hours.The receiver can be stored inside the mouse.Button feedback is also very good.
Bhaskar,Superb deal
Sayan,Well built and a good mouse overall.
Arun M,Good product as expected. Got the product with in 2 days . Thanks Amazon
vivian,comfortable usage really nice less weight smother too best to use for long seat and use amazon good
Anupam,"Stopped working all of a sudden, now I am stuck with a bad stuff as the return window is over"
Somashekar. N,Very nice and comfortable. Logitech always proves to be good
Amazon Customer,good one
Malay Kumar Parida,Nice mouse.Battery is included.Also there is a place to put the usb dongle inside the mouse.But size is too small and there is no dpi button.
lokesh,Very good product.. not for gaming.. very useful for regular usage..
Lalit,"I use it for office, easy to carry. Looks good and is accurate. Will not recommend for gaming though"
Tiasa Ahamed,It easy to grip..and great product in this price
Aashutosh,Mouse is of good quality. Bought 3 still working as new
Harsh,Nice product but scroll gets damage
Amazon Customer,Good product. Value for money.
pan patel,Its sufficient economic price n Logitech name is enough. I can't even  think 2nd name for keyboard n mouse.
Shov_D,I bought it for regular purpose nd it's providing service as expected
Coonie Nayak,Great product!!
Yogesh R Shipkule,Small I N size but good to use
Surya Patra,Not that much good... Mouse pointer is flying some where during use.
Amazon Customer,"The product is light in weight, also buttons are good. I liked the product a lot"
Amazon Customer,Good one
Jashandeep s.,The mouse is a of good quality but not recharge but it had good sensor which can run on any surface...
Ramu,good product
Nundika Hnamte,"Easy to use, durable and still works smoothly"
Ankit S,I had purchased logitech B170  wireless mouse before 4 months & now the scroll is not working. Overall mouse is ok but the scroll and clicks are not that smooth.
Amazon Customer,Product is very good I have been using this for 1 month and it is working smoothly.
Rohit S.,"In this Price range, Probably the Best wireless Mouse you get for any official usageI have been using it since 4 - 5 months and its just awesome.Hope you guys find this Review Helpful"
Shantanu,Comfortable and ease of using
shaik rizwan,Excellent product
Khurram kirmani,Good
Rohit Singh,Very nice products .. have been using for almost 4 month .. and with Mac !! Nice look and grip !!👍🏽👍🏽
Deepali,its a really good mouse
sandeep,Good product
vivek kataria,For portability it is ok....but it is not a great quality...
vidyasagar reddy boppidi,Very good though little overpriced !
Arsh Raj,The click buttons are very sensitive. It often gets clicked when just holding the mouse. But other things are good.
Fenil Patel,Difficult for long time user
shrishti jha,Nice grip and looks classy. Good operation.
RitikHpanchal,Very nice product
Balan,Excellent product
Nayan das,Cheap and good quality . Nice grip.beautiful look
Varun Nemilli,Very good product. Have been using it for a while. I also bought dell mouse. First dell then Logitech in terms of quality and smoothness
ankush,"after 6 month of use, i didnot find any issue. working very fine. just go for it without any doubt"
Amazon Customer,Changing Cell is Hard Process
KUMARESAN,Scroll wheel slips within 8 months of usage. This problem is with my other Logitech mouse as well. it has one year warranty. But there is no provision in Amazon website for return.
Amazing Pintos,As expected
Amazon Customer,working well
Tresa Amit,Great product
Kindle Customer,"I am writing this review after almost 5 months of use. I bought this mouse for 529 and at this price point, it is an absolute value for money product. It works on almost any type of surface. Battery life is good too!"
manohar kanna,Excellent product for the price....
HIMANSHU KALWANI,Please Do not buy it stoped working after 3 months of use not broken no damage just stoped detecting in any PC service center refused to repaire saying its damaged SON OF BI**HS
Akshay Bhende,Awesome product both quality wise and usage wise
Satish.G.S,Good packaging. Delivery in time. Good product. No complaints till today-one month after purchase.
Rohit Thorat,It's scrolling stopped in couple of months
Amazon Customer,Nice product
Amazon Customer,Nice product
Amazon Customer,Its a good purchase...
Karthik,Design is very good and its easy to use.  Instructions  are given clearly.  It has on and off button - i like it very much!
Tej G.,fully satisfied
Amazon Customer,Scroll button is not working
Darshan,I have been using it for 4 months without any hassles. Go for it.
RD,although the mouse pointer works the scroll is failing on mac.
SRINIVASULU GORTHI,It's okay for a personal computer. Work smoothly.
Karan Singh,I found scrates in the mouse base.
mohammed anwer,works good
sanobar seher,It's really good .easy to use andhas good handling grip
Dr. Joy Mathew,Good
Dr. Anonymous,Just awesome.Be blind to buy it.The perfect choice for any user.
Amazon Customer,Dont think twice just go for it.Total paisa vasool product.Mouse could have been  more sturdier but still best product at this rate.Long range connectivity with good battery life.
Kusanava,Good
Nabin Paul,Overall experience is good. But mouse is a little heavy.
Vishal kumar,Nice
Rashmi K,Cannot comment on battery life as I have just started to use it. Test is fine. Good to hold
Sandip More,Excellent product. I just love it
Satyajit Dutta,"I am using this mouse since 4 months and I can't find any problems. It clicks so fast , scrolled so smoothly, light weight, comfortable while using... It is best for gaming... I love it..."
Elango,A decent one
Bushan,Easy to hold and ergonomic.
Neeraj,"Sometimes losses connection, becomes laggy a bit."
SOUGAT PRADHAN,Scroll stop responding properly now
Tushar,Got a replacement for the product and now the replaced product has stopped working.Recommend not to waist your money.
Shubham Shrivastava,"Good product, received in time from Amazon. Overall built is decent, feels good in hand. Built for official uses. Been like using for a week now, satisfied."
Akki,Wifi usb is not available in box wrist product and it's service
Amazon Customer,Good one
Amazon Customer,Decent for the price
Ajay Rana,Packing is very poor but products looks very slim and handy.it's lighting deal in Rs.525 with free shipping.gr8 deal.
aman v.,Its really so smooth in  working n its really so qute mice
AvinashNhanji,Pls stop cheating customers. You send me only mouse which cannot operate without it's receiver as its wireless device.
Fatma Adnan,Very good
Amazon Customer,Good one. using for one year. no issues yet. The battery remained for 9 months.
Kaushal,Very nice mouse for day to day work and Fits perfectly in the hand.
Murugesan,Good Product
Amazon Customer,It's a compact mouse with just the right size. Grip's strong and it looks just beautiful. Click's and pointer works precisely. Though it might  happen that it may fail to recognize the click if you to do at the edge(Not always). Overall nice product for its price
VIKI,this mouse is worth its price and easy to use !!!!
Naveen,"Was working fine for last 8 months, suddenly scroll wheel stopped working.Got it replaced from Logitech walk in center, service is good!"
Atulya Kumar Pradhan,Mouse is handy & movement is smooth. Value for money.
ANUJ SHUKLA,perfect
Apurba Mukherjee,Average quality. Made out of hard plastic. No soft touch plastic or rubber.
Pradyumna s.,Bit small for larger hands but fits in quite well. Lightweight and easy to use
Shrey,Using it frm past 3 months works good
AlB,"It's very comfortable to use. Fits in the hand comfortably too, not too small, not too big. Perfect!"
Aswin V V,Nice one
